Lexus LX,https://im.mashina.kg/tachka/images//1/7/8/178622c29a42cc194a28fe03dededac0_240x180.jpg,$ 24 500,"2006 г., 4.7л., автоматвнедорожник 5 дв., бензинруль слева"
Lexus GX,https://im.mashina.kg/tachka/images//0/4/1/041625ddc5c0abd53ed501b2e62ae17a_240x180.jpg,$ 34 800,"2010 г., 4.6л., автоматвнедорожник 5 дв., бензинруль слева, 290 000 км"
Lexus ES,https://im.mashina.kg/tachka/images//8/3/5/835e8daf3c16fdbc10a6c330007228ad_240x180.jpg,$ 45 300,"2019 г., 2.5л., вариаторседан, гибридруль слева, 61 000 км"
Volkswagen Multivan,https://im.mashina.kg/tachka/images//4/f/c/4fc192862229df7d46961b870061d962_240x180.jpg,$ 12 200,"2006 г., 2.5л., механикаминивэн, дизельруль слева"
Toyota Camry,https://im.mashina.kg/tachka/images//9/8/b/98bc25c35fb4e13c0c650545e417861b_240x180.jpg,$ 29 900,"2020 г., 2.5л., вариаторседан, гибридруль слева, 50 000 км"
BMW X5,https://im.mashina.kg/tachka/images//f/1/a/f1a06e7ea216bfa7be7a5b61f7c5b64a_240x180.jpg,$ 11 300,"2003 г., 3л., автоматвнедорожник 5 дв., бензинруль слева"
Toyota Avensis,https://im.mashina.kg/tachka/images//f/0/6/f06d719019025c1ab5e10813dd09737e_240x180.jpg,$ 7 300,"2003 г., 2л., механикаседан, бензинруль слева, 273 000 км"
Toyota Camry,https://im.mashina.kg/tachka/images//2/7/1/2711737d958e1756276bccd19fb19779_240x180.jpg,$ 23 500,"2017 г., 2.5л., автоматседан, бензинруль слева, 37 000 км"
Toyota Prius,https://im.mashina.kg/tachka/images//4/5/f/45f4ef00d0c7486aad96e44d6bfb15dc_240x180.jpg,$ 10 800,"2011 г., 1.8л., автоматхэтчбек 5 дв., гибридруль слева, 134 568 км"
Toyota Avalon,https://im.mashina.kg/tachka/images//f/0/9/f0915a662f18e7c73f75c03513f8d1d1_240x180.jpg,$ 39 999,"2019 г., 2.5л., вариаторседан, гибридруль слева, 65 000 км"
Mercedes-Benz M-класс,https://im.mashina.kg/tachka/images//3/1/e/31e02516f81fe4435b731d71ada10a37_240x180.jpg,$ 35 000,"2015 г., 3л., автоматвнедорожник 5 дв., дизельруль слева, 148 000 км"
Toyota Avalon,https://im.mashina.kg/tachka/images//e/e/0/ee0adbbb786e4354b70d626335b0c849_240x180.jpg,$ 49 999,"2022 г., 2.5л., вариаторседан, гибридруль слева, 1 000 км"
Kia Sorento,https://im.mashina.kg/tachka/images//7/6/6/7660f98914132145cf44b4981d622476_240x180.jpg,$ 27 000,"2017 г., 2л., автоматвнедорожник 5 дв., дизельруль слева, 130 000 км"
Toyota Camry,https://im.mashina.kg/tachka/images//4/c/2/4c232824c53c6f66b21cfbcb5932bcf1_240x180.jpg,$ 19 200,"2014 г., 2.5л., автоматседан, бензинруль слева, 133 450 км"
Mercedes-Benz E-класс,https://im.mashina.kg/tachka/images//0/a/9/0a9931baa12c267cde4c11be2c9e121e_240x180.jpg,$ 11 300,"2003 г., 3.2л., автоматседан, бензинруль слева, 245 000 км"
Toyota Highlander,https://im.mashina.kg/tachka/images//e/1/f/e1ffc3dc73790756f0e8461ef322b3c7_240x180.jpg,$ 37 500,"2015 г., 3.5л., автоматвнедорожник 5 дв., бензинруль слева, 170 000 км"
Hyundai Avante,https://im.mashina.kg/tachka/images//c/8/a/c8ad91614a54e8a7a262bf931d2567d8_240x180.jpg,$ 14 500,"2016 г., 1.6л., автоматседан, бензинруль слева, 148 000 км"
Toyota Windom,https://im.mashina.kg/tachka/images//3/1/b/31b0656db82453d8bdad1b30f490b15c_240x180.jpg,$ 10 500,"2002 г., 3л., автоматседан, бензинруль справа, 167 000 км"
Toyota Camry,https://im.mashina.kg/tachka/images//7/3/3/733ad3060dd25e397e760daa29c22c10_240x180.jpg,$ 16 500,"2016 г., 2.5л., автоматседан, бензинруль слева"
Toyota Land Cruiser,https://im.mashina.kg/tachka/images//8/f/8/8f8150fc03f7c3c0665ed465efc82e74_240x180.jpg,$ 15 700,"2004 г., 4.5л., автоматвнедорожник 5 дв., бензинруль слева, 273 000 км"
